system:index,CO_density,City,date,.geo
000000000000000000a5_3,0.03808633561439696,Delhi,01-03-2019,
000000000000000000a5_4,0.04116140496895215,Delhi,01-04-2019,
000000000000000000a5_5,0.0430425930839543,Delhi,01-05-2019,
000000000000000000a5_6,0.040599632755448846,Delhi,01-06-2019,
000000000000000000a5_7,0.03743321332743286,Delhi,01-07-2019,
000000000000000000a5_8,0.037599699968860006,Delhi,01-08-2019,
000000000000000000a5_9,0.03748321898702939,Delhi,01-09-2019,
000000000000000000a5_10,0.04389337308172278,Delhi,01-10-2019,
000000000000000000a5_11,0.0430718296013018,Delhi,01-11-2019,
000000000000000000a5_12,0.04086366788484843,Delhi,01-12-2019,
000000000000000000a5_13,0.040426574616766575,Delhi,01-01-2020,
000000000000000000a5_14,0.042316488383049314,Delhi,01-02-2020,
000000000000000000a5_15,0.038206029025403876,Delhi,01-03-2020,
000000000000000000a5_16,0.03946109939258148,Delhi,01-04-2020,
000000000000000000a5_17,0.04240635132993658,Delhi,01-05-2020,
000000000000000000a5_18,0.03979829418534127,Delhi,01-06-2020,
000000000000000000a5_19,0.0380769589374072,Delhi,01-07-2020,
000000000000000000a5_20,0.03488220245194724,Delhi,01-08-2020,
000000000000000000a5_21,0.03789653929016263,Delhi,01-09-2020,
000000000000000000a5_22,0.04103559160026939,Delhi,01-10-2020,
000000000000000000ec_0,0.045130167396850634,Delhi,01-12-2018,
000000000000000000ec_1,0.043586739701064234,Delhi,01-01-2019,
000000000000000000ec_2,0.042338010263479324,Delhi,01-02-2019,
000000000000000000ec_3,0.04108278021672318,Delhi,01-03-2019,
000000000000000000ec_4,0.045245493263371274,Delhi,01-04-2019,
000000000000000000ec_5,0.04523977939207444,Delhi,01-05-2019,
000000000000000000ec_6,0.04379572531569764,Delhi,01-06-2019,
000000000000000000ec_7,0.03741370685032427,Delhi,01-07-2019,
000000000000000000ec_8,0.03820826619336271,Delhi,01-08-2019,
000000000000000000ec_9,0.0371422412507845,Delhi,01-09-2019,
000000000000000000ec_10,0.044216027074431556,Delhi,01-10-2019,
000000000000000000ec_11,0.045352559854917866,Delhi,01-11-2019,
000000000000000000ec_12,0.04671077303750329,Delhi,01-12-2019,
000000000000000000ec_13,0.043887335707778447,Delhi,01-01-2020,
000000000000000000ec_14,0.0451733860265838,Delhi,01-02-2020,
000000000000000000ec_15,0.04030665735524034,Delhi,01-03-2020,
000000000000000000ec_16,0.03915487315502729,Delhi,01-04-2020,
000000000000000000ec_17,0.04208178000875816,Delhi,01-05-2020,
000000000000000000ec_18,0.03997034253135024,Delhi,01-06-2020,
000000000000000000ec_19,0.038564129592957276,Delhi,01-07-2020,
000000000000000000ec_20,0.034905616321609004,Delhi,01-08-2020,
000000000000000000ec_21,0.039584119208548284,Delhi,01-09-2020,
000000000000000000ec_22,0.04398423840426637,Delhi,01-10-2020,
00000000000000000023_0,0.04308917585606208,Delhi,01-12-2018,
00000000000000000023_1,0.04300721246085755,Delhi,01-01-2019,
00000000000000000023_2,0.039808388603824935,Delhi,01-02-2019,
00000000000000000023_3,0.03832928128036256,Delhi,01-03-2019,
00000000000000000023_4,0.04250794339041688,Delhi,01-04-2019,
00000000000000000023_5,0.044475353111130815,Delhi,01-05-2019,
00000000000000000023_6,0.040947354855072816,Delhi,01-06-2019,
00000000000000000023_7,0.03757886819753749,Delhi,01-07-2019,
00000000000000000023_8,0.03861130168012819,Delhi,01-08-2019,
00000000000000000023_9,0.03822205188006477,Delhi,01-09-2019,
00000000000000000023_10,0.04261620609932129,Delhi,01-10-2019,
00000000000000000023_11,0.04202704722402502,Delhi,01-11-2019,
00000000000000000023_12,0.04007168709543046,Delhi,01-12-2019,
00000000000000000023_13,0.04080951157426027,Delhi,01-01-2020,
00000000000000000023_14,0.04335054250137408,Delhi,01-02-2020,
00000000000000000023_15,0.0401343630867409,Delhi,01-03-2020,
00000000000000000023_16,0.039284166677765305,Delhi,01-04-2020,
00000000000000000023_17,0.04318031155991841,Delhi,01-05-2020,
